# description: calculated marker genes for adrenal medullary cell populations
# source: Supplementary Table 5 of Jansky et al, Nat Gen 53, 683–693 (2021)
# doi: 10.1038/s41588-021-00806-1
cell_type,gene
Bridge,SOX6
Bridge,NOL4
Bridge,KCND2
Bridge,PLCB4
Bridge,CHD7
Bridge,NEGR1
Bridge,CLASP1
Bridge,GPC6
Bridge,SRGAP3
Bridge,DCX
Bridge,IMMP2L
Bridge,LRP4
Bridge,CADM2
Bridge,BAI3
Bridge,SPOCK3
Bridge,RP11-125B21.2
Bridge,CACNA1D
Bridge,PTPRR
Bridge,ZNF385D
Bridge,NCAM2
Bridge,TMTC2
Bridge,RALYL
Bridge,CNTNAP5
Bridge,ASTN2
Bridge,CTC-340A15.2
Bridge,PCDH11X
Bridge,PCDH9
connecting Progenitor cells,CDKN1C
connecting Progenitor cells,CDH13
connecting Progenitor cells,SNCA
connecting Progenitor cells,DDC
connecting Progenitor cells,EPAS1
connecting Progenitor cells,GPR139
connecting Progenitor cells,ROBO2
connecting Progenitor cells,MEG8
connecting Progenitor cells,RP11-123M6.2
connecting Progenitor cells,AFF1
connecting Progenitor cells,MEG3
connecting Progenitor cells,SLC18A1
connecting Progenitor cells,KCNQ1OT1
connecting Progenitor cells,TANC2
connecting Progenitor cells,LZTS1
connecting Progenitor cells,AL132709.5
connecting Progenitor cells,KCND3
connecting Progenitor cells,HTR1E
connecting Progenitor cells,GRIK3
connecting Progenitor cells,EML5
connecting Progenitor cells,BAI3
connecting Progenitor cells,CCSER1
connecting Progenitor cells,EGFLAM
connecting Progenitor cells,AL132709.8
connecting Progenitor cells,RP11-909M7.3
connecting Progenitor cells,CACNA1D
connecting Progenitor cells,ZMAT4
connecting Progenitor cells,RP11-125B21.2
connecting Progenitor cells,BTBD11
connecting Progenitor cells,SOBP
connecting Progenitor cells,AC037445.1
connecting Progenitor cells,KCNQ1
connecting Progenitor cells,TBL1X
connecting Progenitor cells,SLC8A3
connecting Progenitor cells,LZTS1-AS1
connecting Progenitor cells,VEGFA
connecting Progenitor cells,TMEM51
connecting Progenitor cells,AC007563.5
connecting Progenitor cells,FAM222A-AS1
connecting Progenitor cells,AMPD2
connecting Progenitor cells,FGF14
connecting Progenitor cells,P4HA1
connecting Progenitor cells,NOD1
connecting Progenitor cells,ROBO1
connecting Progenitor cells,SIK1
connecting Progenitor cells,KCNIP4
connecting Progenitor cells,ZNF385D
connecting Progenitor cells,GATA2
connecting Progenitor cells,LRP4
connecting Progenitor cells,HIST1H4C
connecting Progenitor cells,GLCCI1
connecting Progenitor cells,RGS4
connecting Progenitor cells,ADM
connecting Progenitor cells,FREM1
connecting Progenitor cells,TPM1
connecting Progenitor cells,GREB1L
connecting Progenitor cells,ADAMTS2
connecting Progenitor cells,KIF26B
connecting Progenitor cells,H3F3B
connecting Progenitor cells,PCDH11Y
connecting Progenitor cells,GALNTL6
Chromaffin cells,ZNF331
Chromaffin cells,GEM
Chromaffin cells,ZDBF2
Chromaffin cells,SLC7A5
Chromaffin cells,RP11-123M6.2
Chromaffin cells,PAM
Chromaffin cells,HSPH1
Chromaffin cells,HDAC9
Chromaffin cells,KIAA1244
Chromaffin cells,NR4A1
Chromaffin cells,PDE10A
Chromaffin cells,TH
Chromaffin cells,HSP90AA1
Chromaffin cells,SIK1
Chromaffin cells,STK32B
Chromaffin cells,KCNQ1
Chromaffin cells,GNAS
Chromaffin cells,GCH1
Chromaffin cells,ELL2
Chromaffin cells,HSPA1A
Chromaffin cells,USP36
Chromaffin cells,KCNQ1OT1
Chromaffin cells,KHDRBS3
Chromaffin cells,FNDC3A
Chromaffin cells,SLC2A3
Chromaffin cells,NDRG1
Chromaffin cells,SLC18A2
Chromaffin cells,FGFR1
Chromaffin cells,MEG8
Chromaffin cells,MEG3
Chromaffin cells,CHST8
Chromaffin cells,MAT2A
Chromaffin cells,CYTH3
Chromaffin cells,LINC-PINT
Chromaffin cells,ST18
Chromaffin cells,FOSL2
Chromaffin cells,TIPARP
Chromaffin cells,DBH
Chromaffin cells,XYLT1
Chromaffin cells,FAM46A
Chromaffin cells,LINC00473
Chromaffin cells,NARS2
Chromaffin cells,RP11-426C22.5
Chromaffin cells,DUSP2
Chromaffin cells,SOBP
Chromaffin cells,VGF
Chromaffin cells,FAM155A
Chromaffin cells,DDC
Chromaffin cells,CHGB
Chromaffin cells,CHGA
Chromaffin cells,CCSER1
Chromaffin cells,KCNK9
Chromaffin cells,AL132709.8
Chromaffin cells,GNAS-AS1
Chromaffin cells,VEGFA
Chromaffin cells,SOGA2
Chromaffin cells,KCNJ6
Chromaffin cells,LRP6
Chromaffin cells,ESYT2
Chromaffin cells,AL132709.5
Chromaffin cells,PENK
Chromaffin cells,APCDD1L
Chromaffin cells,NR4A3
Chromaffin cells,HS3ST2
Chromaffin cells,IQSEC3
Chromaffin cells,RP11-909M7.3
Chromaffin cells,ROBO1
Chromaffin cells,RAMP1
Chromaffin cells,PTPRN
Chromaffin cells,SIK2
Chromaffin cells,CDKN1C
Chromaffin cells,SLC18A1
Chromaffin cells,VAV2
Chromaffin cells,DNAJB1
Chromaffin cells,STAT3
Chromaffin cells,CARTPT
Chromaffin cells,NR4A2
Chromaffin cells,SLC2A1
Chromaffin cells,MIDN
Chromaffin cells,RALGAPA1
Chromaffin cells,DLK1
Chromaffin cells,PMEPA1
Chromaffin cells,DUSP4
Chromaffin cells,EPB41L4B
Chromaffin cells,CYB561
Chromaffin cells,SIK3
Chromaffin cells,ECEL1
Chromaffin cells,SPRY4
Chromaffin cells,CPLX1
Chromaffin cells,BEGAIN
Chromaffin cells,AGBL4
Chromaffin cells,BMP7
Chromaffin cells,RP11-843A23.1
Chromaffin cells,HSPA1B
Chromaffin cells,RP11-863P13.5
Chromaffin cells,PER1
Chromaffin cells,RP11-863P13.4
Chromaffin cells,KCND3
Chromaffin cells,RANBP2
Chromaffin cells,MCF2L
Chromaffin cells,SFMBT2
Chromaffin cells,EIF4A3
Chromaffin cells,RP11-466A17.1
Chromaffin cells,KCNMA1
Chromaffin cells,ATP1B3
Chromaffin cells,FOS
Chromaffin cells,GNA14
Chromaffin cells,BTAF1
Chromaffin cells,FAM163A
Chromaffin cells,UNC13A
Chromaffin cells,LONRF2
Chromaffin cells,GAB2
Chromaffin cells,KL
Chromaffin cells,RP11-452H21.1
Chromaffin cells,PRMT10
Chromaffin cells,JUND
Chromaffin cells,CTNNAL1
Chromaffin cells,ADARB1
Chromaffin cells,SH3RF3
Chromaffin cells,HOMER1
Chromaffin cells,CUX1
Chromaffin cells,ANKRD11
Chromaffin cells,INSM1
Chromaffin cells,SCG2
Chromaffin cells,BCAS2
Chromaffin cells,COL18A1
Chromaffin cells,AC005786.7
Chromaffin cells,GRM8
Chromaffin cells,SURF4
Chromaffin cells,BCAR3
Chromaffin cells,WDR45B
Chromaffin cells,TNS1
Chromaffin cells,AL117190.3
Chromaffin cells,JUNB
Chromaffin cells,GRIK3
Chromaffin cells,PDS5B
Chromaffin cells,CREM
Chromaffin cells,MEST
Chromaffin cells,ARIH1
Chromaffin cells,HK2
Chromaffin cells,TRAPPC9
Chromaffin cells,EFR3B
Chromaffin cells,HSPA5
Chromaffin cells,KCNIP4
Chromaffin cells,ITPK1
Chromaffin cells,HS6ST3
Chromaffin cells,DNAJA4
Chromaffin cells,GRK5
Chromaffin cells,CDH7
Chromaffin cells,BTBD9
Chromaffin cells,IRS2
Chromaffin cells,ELOVL5
Chromaffin cells,GALNT18
Chromaffin cells,SORCS2
Chromaffin cells,VPS37B
Chromaffin cells,TMEM51
Chromaffin cells,TMEM184C
Chromaffin cells,EIF2AK3
Chromaffin cells,CTD-2047H16.4
Chromaffin cells,NELFCD
Chromaffin cells,CDC42EP3
Chromaffin cells,ALG13-AS1
Chromaffin cells,EGFLAM
Chromaffin cells,CHORDC1
Chromaffin cells,IFRD1
Chromaffin cells,PVRL1
Chromaffin cells,NCOR2
Chromaffin cells,LYN
Chromaffin cells,DPP6
Chromaffin cells,SGIP1
Chromaffin cells,TBL1X
Chromaffin cells,IGF2BP2
Chromaffin cells,SSH1
Chromaffin cells,TCF4
Chromaffin cells,AHI1
Chromaffin cells,TFRC
Chromaffin cells,SLC24A2
Chromaffin cells,FOXK2
Chromaffin cells,RP11-545G3.1
Chromaffin cells,PCSK2
Chromaffin cells,GUK1
Chromaffin cells,SLC39A14
Chromaffin cells,GGCX
Chromaffin cells,PITPNA
Chromaffin cells,PACRG
Chromaffin cells,HTATSF1
Chromaffin cells,GPR139
Chromaffin cells,CTD-2523D13.1
Chromaffin cells,EML4
Chromaffin cells,KCTD20
Chromaffin cells,TCERG1L
Chromaffin cells,CACNA1C
Chromaffin cells,ALG13
Chromaffin cells,RAB22A
Chromaffin cells,FAM135B
Chromaffin cells,MAP2K1
Chromaffin cells,ERO1L
Chromaffin cells,BCOR
Chromaffin cells,EPAS1
Chromaffin cells,FAM126A
Chromaffin cells,NXN
Chromaffin cells,ZC3H12C
Chromaffin cells,RNF19A
Chromaffin cells,SORCS3
Chromaffin cells,RP11-141A19.1
Chromaffin cells,VPS13C
Chromaffin cells,MEG9
Chromaffin cells,NCS1
Chromaffin cells,HDAC4
Chromaffin cells,PARK2
Chromaffin cells,SFSWAP
Chromaffin cells,BTG2
Chromaffin cells,DNAJB6
Chromaffin cells,CTNND2
Chromaffin cells,HDAC5
Chromaffin cells,NGLY1
Chromaffin cells,GNB1
Chromaffin cells,ATP6V0A1
Chromaffin cells,SYNJ1
Chromaffin cells,AFF4
Chromaffin cells,INPP5A
Chromaffin cells,SNX25
Chromaffin cells,JUN
Chromaffin cells,SV2C
Chromaffin cells,CPNE8
Chromaffin cells,PTPRN2
Chromaffin cells,CYCS
Chromaffin cells,ARHGAP10
Chromaffin cells,AGAP3
Chromaffin cells,DGKD
Chromaffin cells,Sep.06
Chromaffin cells,PTGES3
Chromaffin cells,BCL2L14
Chromaffin cells,SH3KBP1
Chromaffin cells,LOXL2
Chromaffin cells,ATP11A
Chromaffin cells,LINC00511
Chromaffin cells,KIRREL3
Chromaffin cells,PDE3A
Chromaffin cells,CSNK1A1
Chromaffin cells,HIF1A-AS2
Chromaffin cells,MSI2
Chromaffin cells,GAL
Chromaffin cells,PRR16
Chromaffin cells,TANC2
Chromaffin cells,CLCN5
Chromaffin cells,ANKH
Chromaffin cells,CPEB4
Chromaffin cells,FRAS1
Chromaffin cells,CACNG4
Chromaffin cells,FAM222A-AS1
Chromaffin cells,RALYL
Chromaffin cells,FNDC3B
Chromaffin cells,ZMIZ1
Chromaffin cells,RP11-594N15.2
Chromaffin cells,FILIP1L
Chromaffin cells,AC016831.7
Chromaffin cells,GPI
Chromaffin cells,FAM107B
Chromaffin cells,HIF1A
Chromaffin cells,KLHL29
Chromaffin cells,CMIP
Chromaffin cells,GPR158
Chromaffin cells,ZDHHC14
Chromaffin cells,SNCA
Chromaffin cells,CMSS1
Chromaffin cells,PRKCE
Chromaffin cells,HSP90B1
Chromaffin cells,AC037445.1
Chromaffin cells,SDK2
Chromaffin cells,CDH13
Chromaffin cells,GALNTL6
Chromaffin cells,STRA6
Chromaffin cells,ASIC2
Chromaffin cells,PCSK6
Chromaffin cells,NAV2
Chromaffin cells,SAMD4A
Chromaffin cells,LARGE
Chromaffin cells,PKIA
Chromaffin cells,MB21D2
Chromaffin cells,MARCH3
late Chromaffin cells,SLC24A2
late Chromaffin cells,RP11-385J1.2
late Chromaffin cells,KCNMB2
late Chromaffin cells,MGAT4C
late Chromaffin cells,HIF3A
late Chromaffin cells,CNTN3
late Chromaffin cells,ARC
late Chromaffin cells,ZBTB16
late Chromaffin cells,CCSER1
late Chromaffin cells,PNMT
late Chromaffin cells,SIDT1
late Chromaffin cells,AGBL4
late Chromaffin cells,KSR2
late Chromaffin cells,PCDH15
late Chromaffin cells,FAM155A
late Chromaffin cells,CACNB2
late Chromaffin cells,SAMD5
late Chromaffin cells,CHGA
late Chromaffin cells,NTM
late Chromaffin cells,SORCS3
late Chromaffin cells,SLC35F3
late Chromaffin cells,ROBO1
late Chromaffin cells,GNA14
late Chromaffin cells,NEBL
late Chromaffin cells,FKBP5
late Chromaffin cells,TTC40
late Chromaffin cells,UNC5C
late Chromaffin cells,GRM7
late Chromaffin cells,RALYL
late Chromaffin cells,OPCML
late Chromaffin cells,RP11-475O6.1
late Chromaffin cells,CACNA1C
late Chromaffin cells,GALNTL6
late Chromaffin cells,VAT1L
late Chromaffin cells,DYNC1I1
late Chromaffin cells,BRINP1
late Chromaffin cells,FAM135B
late Chromaffin cells,RP11-466A17.1
late Chromaffin cells,NRXN3
late Chromaffin cells,PACRG
late Chromaffin cells,CTC-340A15.2
late Chromaffin cells,ST18
late Chromaffin cells,CNTNAP5
late Chromaffin cells,TH
late Chromaffin cells,DMD
late Chromaffin cells,RP11-307P5.1
late Chromaffin cells,FUT9
late Chromaffin cells,CDC14B
late Chromaffin cells,GRID2
late Chromaffin cells,CADPS2
late Chromaffin cells,DSCAML1
late Chromaffin cells,FGF14
late Chromaffin cells,CACNA1D
late Chromaffin cells,SCARB1
late Chromaffin cells,HS6ST3
late Chromaffin cells,PTPRN2
late Chromaffin cells,DGKB
late Chromaffin cells,FOS
late Chromaffin cells,LSAMP
late Chromaffin cells,KCNMA1
late Chromaffin cells,LINC00632
late Chromaffin cells,SPOCK3
late Chromaffin cells,INADL
late Chromaffin cells,SFMBT2
late Chromaffin cells,SHROOM3
late Chromaffin cells,CDH18
late Chromaffin cells,CNTNAP3
late Chromaffin cells,XPR1
late Chromaffin cells,PTPLAD1
late Chromaffin cells,ANO4
late Chromaffin cells,CTC-535M15.2
late Chromaffin cells,CDH12
late Chromaffin cells,SMC6
late Chromaffin cells,LUZP2
late Chromaffin cells,FRAS1
late Chromaffin cells,FDX1
late Chromaffin cells,STAR
late Chromaffin cells,PCSK2
late Chromaffin cells,MICU2
late Chromaffin cells,N4BP2L2
late Chromaffin cells,LRRC63
late Chromaffin cells,AKAP13
late Chromaffin cells,PARK2
late Chromaffin cells,KCND2
late Chromaffin cells,ARL17B
late Chromaffin cells,ADAMTS19
late Chromaffin cells,ITPR2
late Chromaffin cells,KCTD16
late Chromaffin cells,FREM2
late Chromaffin cells,KIAA1244
late Chromaffin cells,JPH4
late Chromaffin cells,ABCC5
late Chromaffin cells,CYP11B1
late Chromaffin cells,CYP17A1
late Chromaffin cells,KCNH5
late Chromaffin cells,AC159540.1
late Chromaffin cells,LAMA3
late Chromaffin cells,NDRG4
late Chromaffin cells,TBX20
late Chromaffin cells,KIAA1377
late Chromaffin cells,ANKS1B
late Chromaffin cells,RP11-14N7.2
late Chromaffin cells,NAV2
late Chromaffin cells,STK33
late Chromaffin cells,CARTPT
late Chromaffin cells,PPP1R16B
late Chromaffin cells,GCH1
late Chromaffin cells,DCC
late Chromaffin cells,GRIA4
late Chromaffin cells,HBG2
late Chromaffin cells,EPB41L3
late Chromaffin cells,NALCN
late Chromaffin cells,DPP10
late Chromaffin cells,NTNG1
late Chromaffin cells,LINC-PINT
late Chromaffin cells,FAM168A
late Chromaffin cells,APOC1
late Chromaffin cells,PDE4DIP
late Chromaffin cells,ABAT
late Chromaffin cells,EML6
late Chromaffin cells,NR3C1
late Chromaffin cells,TXNIP
late Chromaffin cells,SCG2
late Chromaffin cells,PRR16
late Chromaffin cells,PCSK1N
late Chromaffin cells,HBA1
late Chromaffin cells,APOE
late Chromaffin cells,SYP
late Chromaffin cells,EIF4A2
late Chromaffin cells,HBA2
late Chromaffin cells,HBG1
Neuroblasts,CUX2
Neuroblasts,ALK
Neuroblasts,FGF13
Neuroblasts,SYNPO2
Neuroblasts,ST8SIA4
Neuroblasts,KIF21A
Neuroblasts,FSTL4
Neuroblasts,SLC6A2
Neuroblasts,SLIT3
Neuroblasts,RBFOX1
Neuroblasts,EYA1
Neuroblasts,ADRBK2
Neuroblasts,BCL2
Neuroblasts,AGTPBP1
Neuroblasts,ADAM22
Neuroblasts,PLXNA2
Neuroblasts,ARHGEF28
Neuroblasts,BASP1
Neuroblasts,NELL1
Neuroblasts,ELAVL4
Neuroblasts,SUSD4
Neuroblasts,ELMO1
Neuroblasts,MIR137HG
Neuroblasts,VSTM2L
Neuroblasts,LRFN2
Neuroblasts,TMEM132C
Neuroblasts,EML5
Neuroblasts,PLXNA4
Neuroblasts,LINC00693
Neuroblasts,SEMA6D
Neuroblasts,ZMAT4
Neuroblasts,SNAP91
Neuroblasts,TENM4
Neuroblasts,ISL1
Neuroblasts,ZFHX3
Neuroblasts,KCNK10
Neuroblasts,BNC2
Neuroblasts,CHST15
Neuroblasts,SLC8A1
Neuroblasts,KCNQ5
Neuroblasts,AKAP6
Neuroblasts,NEFM
Neuroblasts,ASTN1
Neuroblasts,MAP1B
Neuroblasts,TOX
Neuroblasts,GRID1
Neuroblasts,CTNNA2
Neuroblasts,CACNA2D3
Neuroblasts,CNKSR2
Neuroblasts,GAP43
Neuroblasts,TOX3
Neuroblasts,CADPS
Neuroblasts,CCDC68
Neuroblasts,STMN2
Neuroblasts,SLC38A1
Neuroblasts,ABCB1
Neuroblasts,TFAP2B
Neuroblasts,LINGO2
Neuroblasts,PIK3R1
Neuroblasts,GARNL3
Neuroblasts,MARCH11
Neuroblasts,HOXD3
Neuroblasts,BMPR1B
Neuroblasts,CHN2
Neuroblasts,ELAVL2
Neuroblasts,TNR
Neuroblasts,CDH8
Neuroblasts,HAND2
Neuroblasts,STAC
Neuroblasts,CSMD2
Neuroblasts,SLC4A8
Neuroblasts,PRPH
Neuroblasts,SYTL4
Neuroblasts,CPNE8
Neuroblasts,AC010127.3
Neuroblasts,KCNH1
Neuroblasts,ANO6
Neuroblasts,PHACTR1
Neuroblasts,KIF26B
Neuroblasts,GALNT10
Neuroblasts,RP11-145O15.3
Neuroblasts,CNTN5
Neuroblasts,KLF7
Neuroblasts,RP11-267N12.1
Neuroblasts,FMN1
Neuroblasts,DTNA
Neuroblasts,PTPRG
Neuroblasts,7SK.2
Neuroblasts,TMEM132D
Neuroblasts,GLCCI1
Neuroblasts,PTPRR
Neuroblasts,CCND1
Neuroblasts,ENOX1
Neuroblasts,ICA1
late Neuroblasts,SORBS2
late Neuroblasts,SYN3
late Neuroblasts,EBF1
late Neuroblasts,RYR2
late Neuroblasts,RGS7
late Neuroblasts,TMEFF2
late Neuroblasts,IL7
late Neuroblasts,HS3ST5
late Neuroblasts,NXPH1
late Neuroblasts,TMEM132C
late Neuroblasts,NRG1
late Neuroblasts,RBFOX1
late Neuroblasts,RORA
late Neuroblasts,CACNA2D3
late Neuroblasts,DLC1
late Neuroblasts,CCBE1
late Neuroblasts,RP11-40F8.2
late Neuroblasts,KCNB2
late Neuroblasts,CNTNAP2
late Neuroblasts,KCNQ5
late Neuroblasts,SEMA6D
late Neuroblasts,PLXNA4
late Neuroblasts,STMN2
late Neuroblasts,STAR
late Neuroblasts,EYA4
late Neuroblasts,LRTM1
late Neuroblasts,DOCK4
late Neuroblasts,BMPR1B
late Neuroblasts,TMC2
late Neuroblasts,CYP17A1
late Neuroblasts,RP3-399L15.3
late Neuroblasts,ANKFN1
late Neuroblasts,FDX1
late Neuroblasts,TLN2
late Neuroblasts,RTN1
late Neuroblasts,CYP11B1
late Neuroblasts,TNXB
late Neuroblasts,EPHA6
late Neuroblasts,ANK2
late Neuroblasts,ZFHX3
late Neuroblasts,SLC44A5
late Neuroblasts,KCNQ3
late Neuroblasts,MARCH11
late Neuroblasts,RP11-39M21.1
late Neuroblasts,CHRNA7
late Neuroblasts,MAPT
late Neuroblasts,ELAVL2
late Neuroblasts,FAM166B
late Neuroblasts,FAM69A
late Neuroblasts,TIMP3
late Neuroblasts,MAP7
late Neuroblasts,SCN9A
late Neuroblasts,RPL13A
late Neuroblasts,SYNPO2
late Neuroblasts,TMOD1
late Neuroblasts,APOC1
late Neuroblasts,APOE
late Neuroblasts,HECW1
late Neuroblasts,PAPSS2
late Neuroblasts,PLXNC1
late Neuroblasts,RAP1GAP2
late Neuroblasts,PRUNE2
late Neuroblasts,PMP22
late Neuroblasts,FRMD5
late Neuroblasts,SLCO3A1
late Neuroblasts,FGF13
late Neuroblasts,MAPK4
late Neuroblasts,CYP21A2
late Neuroblasts,FMN1
late Neuroblasts,GRIA1
late Neuroblasts,MT2A
late Neuroblasts,TUBA1A
late Neuroblasts,CYP11A1
late Neuroblasts,RBMS3-AS3
late Neuroblasts,SH3BP5
late Neuroblasts,SDK1
late Neuroblasts,SHANK2
late Neuroblasts,PCBP3
late Neuroblasts,AKAP6
late Neuroblasts,ANK3
late Neuroblasts,SEZ6L
late Neuroblasts,PHACTR1
late Neuroblasts,RBM47
late Neuroblasts,RP11-145O15.3
late Neuroblasts,SULT2A1
late Neuroblasts,ELAVL4
late Neuroblasts,STMN4
late Neuroblasts,RPL34
late Neuroblasts,PAK3
late Neuroblasts,B2M
late Neuroblasts,STXBP5L
late Neuroblasts,RPS18
late Neuroblasts,DOCK3
late Neuroblasts,UCHL1
late Neuroblasts,TRIM2
late Neuroblasts,CAMK1D
late Neuroblasts,NCKAP5
late Neuroblasts,FMN2
late Neuroblasts,RPL31
late Neuroblasts,DTNA
late Neuroblasts,CD44
late Neuroblasts,UNC5D
late Neuroblasts,RUNDC3B
late Neuroblasts,PTPRD
late Neuroblasts,CSGALNACT1
late Neuroblasts,FAT3
late Neuroblasts,TTC39C
late Neuroblasts,GAP43
late Neuroblasts,ATP8A1
late Neuroblasts,TMSB4X
late Neuroblasts,SCARB1
late Neuroblasts,RPL7
late Neuroblasts,NCOA7
late Neuroblasts,DLEU1
late Neuroblasts,SCN3A
late Neuroblasts,RPL37A
late Neuroblasts,CACNA2D3-AS1
late Neuroblasts,CREB5
late Neuroblasts,RPS23
late Neuroblasts,ISL1
late Neuroblasts,SCN2A
late Neuroblasts,MTUS1
late Neuroblasts,RPS27A
late Neuroblasts,RPL35
late Neuroblasts,NRP2
late Neuroblasts,CNKSR2
late Neuroblasts,RPL27A
late Neuroblasts,AC073283.4
late Neuroblasts,LDLR
late Neuroblasts,ZC2HC1A
late Neuroblasts,TUBB2B
late Neuroblasts,MSMO1
late Neuroblasts,GPR137C
late Neuroblasts,RPL36
late Neuroblasts,RPLP2
late Neuroblasts,RPS12
late Neuroblasts,RPS15A
late Neuroblasts,RPL23A
late Neuroblasts,SNCG
late Neuroblasts,FAU
late Neuroblasts,SLIT2
late Neuroblasts,RPS20
late Neuroblasts,RPS5
cycling Neuroblasts,APOLD1
cycling Neuroblasts,DIAPH3
cycling Neuroblasts,ARHGAP11B
cycling Neuroblasts,TOP2A
cycling Neuroblasts,ASPM
cycling Neuroblasts,BRIP1
cycling Neuroblasts,CEP128
cycling Neuroblasts,C21orf58
cycling Neuroblasts,ATAD2
cycling Neuroblasts,CASC5
cycling Neuroblasts,PRC1
cycling Neuroblasts,RP1-167A14.2
cycling Neuroblasts,CIT
cycling Neuroblasts,C2orf48
cycling Neuroblasts,NUSAP1
cycling Neuroblasts,GTSE1
cycling Neuroblasts,POLQ
cycling Neuroblasts,KIF18B
cycling Neuroblasts,SPC25
cycling Neuroblasts,CDC25C
cycling Neuroblasts,KIAA1524
cycling Neuroblasts,MELK
cycling Neuroblasts,KIF15
cycling Neuroblasts,DTL
cycling Neuroblasts,MXD3
cycling Neuroblasts,NCAPG
cycling Neuroblasts,CLSPN
cycling Neuroblasts,IQGAP3
cycling Neuroblasts,NUF2
cycling Neuroblasts,DEPDC1B
cycling Neuroblasts,SMC4
cycling Neuroblasts,RFC3
cycling Neuroblasts,BRCA1
cycling Neuroblasts,RGS3
cycling Neuroblasts,CDCA2
cycling Neuroblasts,AURKB
cycling Neuroblasts,MKI67
cycling Neuroblasts,ANLN
cycling Neuroblasts,TPX2
cycling Neuroblasts,CEP152
cycling Neuroblasts,SYNE2
cycling Neuroblasts,KIF14
cycling Neuroblasts,KIFC1
cycling Neuroblasts,RTKN2
cycling Neuroblasts,CENPK
cycling Neuroblasts,KIF11
cycling Neuroblasts,BUB1B
cycling Neuroblasts,CENPF
cycling Neuroblasts,KIF4A
cycling Neuroblasts,KIF23
cycling Neuroblasts,EZH2
cycling Neuroblasts,KIF20B
cycling Neuroblasts,FANCI
cycling Neuroblasts,ECT2
cycling Neuroblasts,PARPBP
cycling Neuroblasts,MCM10
cycling Neuroblasts,CENPE
cycling Neuroblasts,NDC80
cycling Neuroblasts,KIF2C
cycling Neuroblasts,CENPP
cycling Neuroblasts,CDK1
cycling Neuroblasts,NCAPG2
cycling Neuroblasts,DLGAP5
cycling Neuroblasts,DNA2
cycling Neuroblasts,KIF18A
cycling Neuroblasts,ALK
cycling Neuroblasts,CENPI
cycling Neuroblasts,FANCA
cycling Neuroblasts,STIL
cycling Neuroblasts,PBK
cycling Neuroblasts,AP001347.6
cycling Neuroblasts,RAD51AP1
cycling Neuroblasts,ZNF367
cycling Neuroblasts,NCAPD3
cycling Neuroblasts,ARHGAP11A
cycling Neuroblasts,MMS22L
cycling Neuroblasts,BLM
cycling Neuroblasts,MIS18BP1
cycling Neuroblasts,BUB1
cycling Neuroblasts,TACC3
cycling Neuroblasts,RACGAP1
cycling Neuroblasts,CCNF
cycling Neuroblasts,CUX2
cycling Neuroblasts,CENPU
cycling Neuroblasts,GLYATL2
cycling Neuroblasts,KIF21A
cycling Neuroblasts,C4orf21
cycling Neuroblasts,SGOL2
cycling Neuroblasts,HELLS
cycling Neuroblasts,CHAF1A
cycling Neuroblasts,AC004158.2
cycling Neuroblasts,SMC2
cycling Neuroblasts,KNTC1
cycling Neuroblasts,EYA1
cycling Neuroblasts,FANCD2
cycling Neuroblasts,POLE
cycling Neuroblasts,CTC-260E6.6
cycling Neuroblasts,LMNB1
cycling Neuroblasts,CNTLN
cycling Neuroblasts,KCNQ5
cycling Neuroblasts,LIG1
cycling Neuroblasts,FGF13
cycling Neuroblasts,VRK1
cycling Neuroblasts,PRIM2
cycling Neuroblasts,ATAD5
cycling Neuroblasts,SYNPO2
cycling Neuroblasts,TMPO
cycling Neuroblasts,WHSC1
cycling Neuroblasts,ESR2
cycling Neuroblasts,RBL1
cycling Neuroblasts,RAD18
cycling Neuroblasts,ATRNL1
cycling Neuroblasts,PBX3
cycling Neuroblasts,SLC4A8
cycling Neuroblasts,PKP4
cycling Neuroblasts,HMGB2
cycling Neuroblasts,CKAP2
cycling Neuroblasts,PHACTR1
cycling Neuroblasts,MEIS2
cycling Neuroblasts,LINC00669
cycling Neuroblasts,MAGI1
cycling Neuroblasts,CCDC18
cycling Neuroblasts,CDK5RAP2
cycling Neuroblasts,PPM1E
cycling Neuroblasts,SCLT1
cycling Neuroblasts,RP11-120D5.1
cycling Neuroblasts,PDE3B
cycling Neuroblasts,E2F3
cycling Neuroblasts,TUBA1B
cycling Neuroblasts,ADAM22
cycling Neuroblasts,CKAP5
cycling Neuroblasts,BNC2
cycling Neuroblasts,CEP192
cycling Neuroblasts,POLA1
cycling Neuroblasts,PIK3R3
cycling Neuroblasts,MPHOSPH9
cycling Neuroblasts,EYA4
cycling Neuroblasts,FANCC
cycling Neuroblasts,ST6GALNAC5
cycling Neuroblasts,PTPRG
cycling Neuroblasts,NXPH1
cycling Neuroblasts,KPNA2
cycling Neuroblasts,STMN1
