# description: calculated marker genes for adrenal medullary cell populations
# source: Supplementary Table 5 of Jansky et al, Nat Gen 53, 683–693 (2021)
# doi: 10.1038/s41588-021-00806-1
cell_type,gene
late SCPs,KAT2B
late SCPs,LIMA1
late SCPs,RAP1A
late SCPs,CHD7
late SCPs,APOE
late SCPs,HS6ST3
late SCPs,EVI5
late SCPs,COL18A1
late SCPs,ROR1
late SCPs,TOM1L2
late SCPs,RALGPS2
late SCPs,B2M
late SCPs,LEPREL1
late SCPs,ATP2B1
late SCPs,ADAMTS6
late SCPs,ACTB
SCPs,PDZRN4
SCPs,CDH6
SCPs,IL1RAPL2
SCPs,PTPRZ1
SCPs,MOXD1
SCPs,IL1RAPL1
SCPs,NKAIN3
SCPs,COL5A2
SCPs,HMGA2
SCPs,TRPM3
SCPs,VCAN
SCPs,CDH19
SCPs,ERBB4
SCPs,SOX6
SCPs,PTPRJ
SCPs,SNTB1
SCPs,PRKG1
SCPs,MEGF10
SCPs,SLC35F1
SCPs,MEF2C
SCPs,ADAM12
SCPs,RP11-152K4.2
SCPs,PPFIBP1
SCPs,ZEB2
SCPs,GRID2
SCPs,STARD13
SCPs,SOX5
SCPs,POSTN
SCPs,TGFBR2
SCPs,QKI
SCPs,LRRTM4
SCPs,GPR126
SCPs,INSC
SCPs,ANKRD50
SCPs,NLGN1
SCPs,CASC15
SCPs,ADAM23
SCPs,GLI3
SCPs,PLS3
SCPs,NR2F2-AS1
SCPs,PKNOX2
SCPs,RP11-436K8.1
SCPs,RP11-366L20.2
SCPs,CELF2
SCPs,RP11-776H12.1
SCPs,SASH1
SCPs,COL25A1
SCPs,NCALD
SCPs,DOCK1
SCPs,ITGB5
SCPs,EPS8
SCPs,ITGA4
SCPs,TMEM117
SCPs,TMEM2
SCPs,VCAN-AS1
SCPs,TCF7L1
SCPs,GPM6B
SCPs,ARHGAP42
SCPs,EDNRB
SCPs,HMCN1
SCPs,KIAA1755
SCPs,FHDC1
SCPs,LMO3
SCPs,RFTN2
SCPs,RP11-413B19.2
SCPs,ETS1
SCPs,STXBP6
SCPs,TMEM132B
SCPs,ERBB3
SCPs,ARHGEF26
SCPs,RHOJ
SCPs,PLA2G4A
SCPs,LGI4
SCPs,SOX10
SCPs,COL20A1
SCPs,AC090673.2
SCPs,SGK223
SCPs,NKAIN2
SCPs,ARAP2
SCPs,BCHE
SCPs,MAP3K1
SCPs,WWTR1
SCPs,NOTCH2
SCPs,ABCA8
SCPs,CRISPLD1
SCPs,RP11-366L20.3
SCPs,SPRED1
SCPs,MPZ
SCPs,FRMD6
SCPs,PREX1
SCPs,OLFML2A
SCPs,NFIA
SCPs,PARD3
SCPs,CDK14
SCPs,SHC4
SCPs,MYO10
SCPs,DAAM2
SCPs,PTPN14
SCPs,CYP27C1
SCPs,AHR
SCPs,PARD3B
SCPs,NAALADL2
SCPs,SORCS1
SCPs,SEMA3C
SCPs,TGFB2
SCPs,PRICKLE2
SCPs,PTPN13
SCPs,PLP1
SCPs,GAB1
SCPs,YAP1
SCPs,PHLDB2
SCPs,NUDT4
SCPs,SOX13
SCPs,LSAMP
SCPs,AFAP1L2
SCPs,FOLH1
SCPs,RBMS3
SCPs,LMO4
SCPs,CHST9
SCPs,GAS7
SCPs,KIRREL
SCPs,GAREM
SCPs,ID4
SCPs,WLS
SCPs,KIF13B
SCPs,DST
SCPs,MIR181A1HG
SCPs,DISC1
SCPs,DLGAP1
SCPs,CNTN4
SCPs,PLEKHA4
SCPs,MAP4K4
SCPs,RARB
SCPs,PDE7B
SCPs,GNG12-AS1
SCPs,RASGEF1C
SCPs,CPED1
SCPs,SSFA2
SCPs,ZNF536
SCPs,GFRA1
SCPs,ALDH1A1
SCPs,PPAP2A
SCPs,EFNB2
SCPs,SLITRK6
SCPs,COL11A1
SCPs,PRKCA
SCPs,FRMD4A
SCPs,ITGA1
SCPs,HS3ST4
SCPs,TANC1
SCPs,GPC6
SCPs,MAML2
SCPs,KIAA1217
SCPs,PDZRN3
SCPs,SYNPR
SCPs,POLR2F
SCPs,DNAJC1
SCPs,FGD4
SCPs,TNS3
SCPs,ROR1
SCPs,SIPA1L1
SCPs,NGFR
SCPs,C4orf19
SCPs,LINC00478
SCPs,IL1RAP
SCPs,GULP1
SCPs,COL2A1
SCPs,ASAP2
SCPs,ITGA2
SCPs,FRAS1
SCPs,PLEKHG1
SCPs,VCL
SCPs,PDE4B
SCPs,TNIK
SCPs,RP11-945C19.4
SCPs,OAF
SCPs,CNTN6
SCPs,COL9A3
SCPs,NID1
SCPs,C3orf70
SCPs,FAM13A
SCPs,KAT2B
SCPs,LPP
SCPs,OSBPL10
SCPs,CHD7
SCPs,AQP4-AS1
SCPs,RGL1
SCPs,AC008937.2
SCPs,NOTCH1
SCPs,LGR4
SCPs,ZNF521
SCPs,PRKD1
SCPs,PHLDB1
SCPs,ITGA6
SCPs,COL23A1
SCPs,FBN3
SCPs,LHFPL2
SCPs,XKR4
SCPs,FIGN
SCPs,FOXO1
SCPs,ID3
SCPs,ACSS3
SCPs,OXR1
SCPs,ST6GALNAC3
SCPs,CTD-3088G3.8
SCPs,UTRN
SCPs,NHS
SCPs,STK3
SCPs,SDK2
SCPs,COL18A1
SCPs,COL4A2
SCPs,ST8SIA5
SCPs,INPP4B
SCPs,CDC14A
SCPs,KCNIP1
SCPs,UST
SCPs,TBX2
SCPs,LAMA4
SCPs,TMTC2
SCPs,B4GALT6
SCPs,GRIK2
SCPs,AFF2
SCPs,KCNH8
SCPs,NR6A1
SCPs,MMP17
SCPs,RP11-649G15.2
SCPs,ST5
SCPs,ARHGEF10
SCPs,LIMD1
SCPs,TAOK3
SCPs,ADAMTSL1
SCPs,DOK6
SCPs,LIMA1
SCPs,HOXB3
SCPs,UACA
SCPs,MEGF9
SCPs,NOX4
SCPs,MCAM
SCPs,SUCLG2
SCPs,FKBP10
SCPs,CACHD1
SCPs,FBN1
SCPs,MOB3B
SCPs,RP11-696N14.1
SCPs,NRIP1
SCPs,PEAK1
SCPs,FAM3C
SCPs,RP11-444D3.1
SCPs,CTD-2647L4.1
SCPs,DPY19L3
SCPs,TCF7L2
SCPs,FLNA
SCPs,RBMS2
SCPs,ANKRD44
SCPs,RALGPS2
SCPs,CEP112
SCPs,SRGAP2
SCPs,RAP1GDS1
SCPs,MVB12B
SCPs,ARHGEF35
SCPs,PLAT
SCPs,ERBB2IP
SCPs,LAMC1
SCPs,ETV6
SCPs,TRPS1
SCPs,MIR181A2HG
SCPs,PTPRM
SCPs,SPATA6
SCPs,ANTXR1
SCPs,UBL3
SCPs,PTK2
SCPs,RP11-37B2.1
SCPs,SPTBN1
SCPs,MAP4K5
SCPs,RAD51B
SCPs,RNF130
SCPs,CHST11
SCPs,NRXN3
SCPs,CTDSPL
SCPs,NPAS3
SCPs,NPR3
SCPs,RAI14
SCPs,KCNK2
SCPs,LPHN2
SCPs,OSBPL1A
SCPs,LRCH1
SCPs,AKAP13
SCPs,ZFP36L1
SCPs,CHL1
SCPs,NCAM2
SCPs,RAPGEF2
SCPs,GTDC1
SCPs,ST6GAL1
SCPs,BICC1
SCPs,PHLPP1
SCPs,DAB1
SCPs,ARNT2
SCPs,LINC01057
SCPs,DDAH1
SCPs,CYP7B1
SCPs,ANXA2
SCPs,DOCK10
SCPs,TENM3
SCPs,PALLD
SCPs,LRCH3
SCPs,C10orf11
SCPs,KIAA0922
SCPs,MICAL3
SCPs,FOXP2
SCPs,KIF13A
SCPs,DNAH14
SCPs,AFF3
SCPs,RBPMS
SCPs,MEF2C-AS1
SCPs,USP53
SCPs,VWA8
SCPs,VIM
SCPs,ARHGEF12
SCPs,PLXDC2
SCPs,USP25
SCPs,MED12L
SCPs,ARHGAP5
SCPs,PRICKLE1
SCPs,RP11-242P2.1
SCPs,PCDH7
SCPs,PTPN12
SCPs,RP11-141M1.3
SCPs,SVIL
SCPs,KLF12
SCPs,IMMP2L
SCPs,PLCB4
SCPs,TFDP2
SCPs,GPC3
SCPs,CDC73
SCPs,HIVEP1
SCPs,MARCKS
SCPs,ST8SIA1
SCPs,RP11-123O10.4
SCPs,MMP16
SCPs,FREM1
SCPs,CAMK2D
SCPs,ADAMTS6
SCPs,BACH1
SCPs,LMCD1-AS1
SCPs,CTNNA3
SCPs,TLE4
SCPs,LRRC7
SCPs,KHDRBS2
SCPs,ENOX1
cycling SCPs,CDH19
cycling SCPs,MEGF10
cycling SCPs,PKNOX2
cycling SCPs,ARHGAP11B
cycling SCPs,PDZRN4
cycling SCPs,PTPRZ1
cycling SCPs,INSC
cycling SCPs,CDH6
cycling SCPs,GPR126
cycling SCPs,C2orf48
cycling SCPs,KIF18B
cycling SCPs,MOXD1
cycling SCPs,SNTB1
cycling SCPs,STXBP6
cycling SCPs,ITGA4
cycling SCPs,RP11-152K4.2
cycling SCPs,GLI3
cycling SCPs,COL5A2
cycling SCPs,C21orf58
cycling SCPs,IL1RAPL1
cycling SCPs,MELK
cycling SCPs,RP11-366L20.2
cycling SCPs,CDC25C
cycling SCPs,DIAPH3
cycling SCPs,CENPE
cycling SCPs,KIF4A
cycling SCPs,ADAM12
cycling SCPs,KIF11
cycling SCPs,CENPK
cycling SCPs,BUB1B
cycling SCPs,IL1RAPL2
cycling SCPs,LINC00669
cycling SCPs,ASPM
cycling SCPs,RTKN2
cycling SCPs,PLS3
cycling SCPs,RP11-436K8.1
cycling SCPs,FHDC1
cycling SCPs,POLQ
cycling SCPs,TRPM3
cycling SCPs,NDC80
cycling SCPs,MYBL1
cycling SCPs,CASC5
cycling SCPs,POSTN
cycling SCPs,ANKRD50
cycling SCPs,HMGA2
cycling SCPs,DEPDC1B
cycling SCPs,KIAA1755
cycling SCPs,TGFBR2
cycling SCPs,EPS8
cycling SCPs,BRIP1
cycling SCPs,CIT
cycling SCPs,GTSE1
cycling SCPs,IQGAP3
cycling SCPs,FANCB
cycling SCPs,SOX10
cycling SCPs,VCAN
cycling SCPs,ERBB3
cycling SCPs,NKAIN3
cycling SCPs,PLA2G4A
cycling SCPs,ARHGEF26
cycling SCPs,SLC35F1
cycling SCPs,ECT2
cycling SCPs,ARHGAP11A
cycling SCPs,KIF15
cycling SCPs,HMCN1
cycling SCPs,CELF2
cycling SCPs,SGOL1
cycling SCPs,CENPF
cycling SCPs,RP11-366L20.3
cycling SCPs,GLRA2
cycling SCPs,PARPBP
cycling SCPs,CCDC150
cycling SCPs,SGK223
cycling SCPs,TOP2A
cycling SCPs,TACC3
cycling SCPs,FANCI
cycling SCPs,NCAPG
cycling SCPs,PPFIBP1
cycling SCPs,CDCA2
cycling SCPs,CENPI
cycling SCPs,PREX1
cycling SCPs,CEP112
cycling SCPs,RP11-776H12.1
cycling SCPs,FBN3
cycling SCPs,NLGN1
cycling SCPs,STIL
cycling SCPs,TPX2
cycling SCPs,SGOL2
cycling SCPs,ERBB4
cycling SCPs,NR2F2-AS1
cycling SCPs,RP11-120D5.1
cycling SCPs,VCAN-AS1
cycling SCPs,GAS2L3
cycling SCPs,LGI4
cycling SCPs,ANLN
cycling SCPs,ARHGAP42
cycling SCPs,KIF18A
cycling SCPs,PRKG1
cycling SCPs,AURKB
cycling SCPs,EDNRB
cycling SCPs,ZEB2
cycling SCPs,CDK14
cycling SCPs,KIF2C
cycling SCPs,TMEM117
cycling SCPs,C4orf19
cycling SCPs,PTPRJ
cycling SCPs,SPC25
cycling SCPs,MIS18BP1
cycling SCPs,STARD13
cycling SCPs,KIF20B
cycling SCPs,BUB1
cycling SCPs,BLM
cycling SCPs,QKI
cycling SCPs,KIFC1
cycling SCPs,YAP1
cycling SCPs,SMC4
cycling SCPs,ALDH1A1
cycling SCPs,RP11-413B19.2
cycling SCPs,GPM6B
cycling SCPs,ITGB5
cycling SCPs,ADAM23
cycling SCPs,KIF23
cycling SCPs,CRISPLD1
cycling SCPs,AC090673.2
cycling SCPs,NCAPD2
cycling SCPs,KIF14
cycling SCPs,AHR
cycling SCPs,EZH2
cycling SCPs,LMO4
cycling SCPs,LMO3
cycling SCPs,KIRREL
cycling SCPs,SPRED1
cycling SCPs,AC004158.2
cycling SCPs,TCF7L1
cycling SCPs,COL25A1
cycling SCPs,PDE4B
cycling SCPs,BRCA2
cycling SCPs,NOTCH2
cycling SCPs,MKI67
cycling SCPs,SOX6
cycling SCPs,AP001347.6
cycling SCPs,UACA
cycling SCPs,NDE1
cycling SCPs,SASH1
cycling SCPs,TMEM2
cycling SCPs,MYO10
cycling SCPs,NCALD
cycling SCPs,PHLDB2
cycling SCPs,SHC4
cycling SCPs,BARD1
cycling SCPs,RP1-167A14.2
cycling SCPs,ARAP2
cycling SCPs,GRID2
cycling SCPs,MEF2C
cycling SCPs,PIF1
cycling SCPs,KIAA1217
cycling SCPs,LRRTM4
cycling SCPs,NUSAP1
cycling SCPs,GINS1
cycling SCPs,DOCK1
cycling SCPs,PARD3B
cycling SCPs,RFTN2
cycling SCPs,SPATA5
cycling SCPs,CPED1
cycling SCPs,COL2A1
cycling SCPs,ABCA8
cycling SCPs,KNTC1
cycling SCPs,AFAP1L2
cycling SCPs,NFIA
cycling SCPs,COL23A1
cycling SCPs,WWTR1
cycling SCPs,NUF2
cycling SCPs,RAD51AP1
cycling SCPs,TANC1
cycling SCPs,ST8SIA5
cycling SCPs,RAD54B
cycling SCPs,OSBPL10
cycling SCPs,ETS1
cycling SCPs,PRIM2
cycling SCPs,ARHGAP15
cycling SCPs,RAD51B
cycling SCPs,TMEM132B
cycling SCPs,PDE7B
cycling SCPs,PARD3
cycling SCPs,CASC15
cycling SCPs,HOXB3
cycling SCPs,NHS
cycling SCPs,SSFA2
cycling SCPs,MMS22L
cycling SCPs,CEP128
cycling SCPs,DNA2
cycling SCPs,MIR181A1HG
cycling SCPs,NAALADL2
cycling SCPs,MAML2
cycling SCPs,DLGAP5
cycling SCPs,MXD3
cycling SCPs,PLCE1
cycling SCPs,FRMD6
cycling SCPs,MDFIC
cycling SCPs,RHOJ
cycling SCPs,MOB3B
cycling SCPs,STK3
cycling SCPs,TNS3
cycling SCPs,NKAIN2
cycling SCPs,VGLL3
cycling SCPs,RARB
cycling SCPs,ASAP2
cycling SCPs,MID1
cycling SCPs,GNG12-AS1
cycling SCPs,CNTN6
cycling SCPs,DISC1
cycling SCPs,SOX5
cycling SCPs,BRCA1
cycling SCPs,CTC-260E6.6
cycling SCPs,FIGN
cycling SCPs,NOTCH1
cycling SCPs,COL11A1
cycling SCPs,KIF13B
cycling SCPs,PRKD1
cycling SCPs,UTRN
cycling SCPs,GAREM
cycling SCPs,GFRA1
cycling SCPs,CNTN4
cycling SCPs,ARHGEF10
cycling SCPs,FANCA
cycling SCPs,CDC14A
cycling SCPs,B4GALT6
cycling SCPs,ATAD2
cycling SCPs,GAS7
cycling SCPs,CENPJ
cycling SCPs,ITGB3BP
cycling SCPs,APOLD1
cycling SCPs,NUDT4
cycling SCPs,WLS
